full_name, stars, forks, description, language
facebookincubator/create-react-app, 17569, 1820, "Create React apps with no build configuration.", JavaScript
zeit/hyper, 13626, 908, "A terminal built on web technologies", JavaScript
verekia/js-stack-from-scratch, 9496, 685, "Step-by-step tutorial to build a modern JavaScript stack from scratch", JavaScript
jaywcjlove/awesome-mac, 8251, 865, " This repo is a collection of awesome Mac applications and tools for developers and designers.", JavaScript
FormidableLabs/webpack-dashboard, 7987, 193, "A CLI dashboard for webpack dev server", JavaScript
zeit/next.js, 7704, 347, "A minimalistic framework for universal server-rendered React applications", JavaScript
ruanyf/jstraining, 6414, 1561, "全栈工程师培训材料", JavaScript
thejameskyle/itsy-bitsy-data-structures, 5291, 333, ":european_castle: All the things you didn't know you wanted to know about data structures", JavaScript
justjavac/awesome-wechat-weapp, 5041, 997, "微信小程序开发资源汇总 :100:", JavaScript
gavinkwoe/weapp-ide-crack, 4441, 1217, "【应用号】IDE + 破解 + Demo", JavaScript
wulkano/kap, 3680, 135, "An open-source screen recorder built with web technology", JavaScript
samyk/poisontap, 3597, 671, "Exploits locked/password protected computers over USB, drops persistent WebSocket-based backdoor, exposes internal router, and siphons cookies using Raspberry Pi Zero & Node.js.", JavaScript
react-native-community/react-native-elements, 3572, 229, "React Native Elements UI Toolkit", JavaScript
sveltejs/svelte, 3566, 86, "The magical disappearing UI framework", JavaScript
camwiegert/in-view, 3549, 132, "Get notified when a DOM element enters or exits the viewport. :eyes:", JavaScript
styled-components/styled-components, 3537, 143, "Visual primitives for the component age 💅", JavaScript
sarcadass/granim.js, 3470, 144, "Create fluid and interactive gradients animations with this small (< 10 kB) js library.", JavaScript
sachinchoolur/lightgallery.js, 3187, 184, "Full featured JavaScript image & video gallery. No dependencies", JavaScript
nolanlawson/optimize-js, 2994, 78, "Optimize a JavaScript file for faster initial load by wrapping eagerly-invoked functions", JavaScript
FormidableLabs/nodejs-dashboard, 2649, 73, " Telemetry dashboard for node.js apps from the terminal!", JavaScript
benhowdle89/grade, 2587, 106, "This JavaScript library produces complementary gradients generated from the top 2 dominant colours in supplied images.", JavaScript
googlesamples/md2googleslides, 2583, 87, "Generate Google Slides from markdown", JavaScript
Aufree/awesome-wechat-weapp, 2565, 467, "", JavaScript
vuejs/vue-hackernews-2.0, 2481, 408, "HackerNews clone built with Vue 2.0, vue-router & vuex, with server-side rendering", JavaScript
xviniette/FlappyLearning, 2317, 192, "Program learning to play Flappy Bird by machine learning (Neuroevolution)", JavaScript
FormidableLabs/react-game-kit, 2257, 79, "Component library for making games with React  & React Native", JavaScript
gchq/CyberChef, 2234, 229, "The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis", JavaScript
RafalWilinski/express-status-monitor, 2204, 82, "🚀 Realtime Monitoring solution for Express.js apps, inspired by status.github.com", JavaScript
franciscop/cookies.js, 2120, 56, "🍪 Interactive and easy cookies from your browser in javascript", JavaScript
th0r/webpack-bundle-analyzer, 2106, 43, "Webpack plugin and CLI utility that represents bundle content as convenient interactive zoomable treemap", JavaScript
iam4x/pokemongo-webspoof, 2092, 221, "👾 Play Pokémon Go from your Mac", JavaScript
mewo2/terrain, 2090, 158, "Fantasy map generator", JavaScript
GetStream/Winds, 2016, 128, "Winds is an open source & beautiful RSS reader built using React/Redux/Sails/Node and Stream (https://getstream.io). It showcases personalized feeds powered by the https://getstream.io API. This tutorial explains how the personalization API works (http://bit.ly/personalization-winds). Try the online demo: ", JavaScript
