full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
baoyongzhang/ApkChannelBuilder,ApkChannelBuilder,一个 Mac App，用于 Apk 多渠道打包。,185,22,Swift,baoyongzhang,Mr.Bao,User,"Beijing, China",39.904211,116.407395,Beijing,China,128.0
qiuncheng/NoticeBar,NoticeBar,"😍A simple NoticeBar written by Swift 3, similar with QQ notice view.",179,20,Swift,qiuncheng,Qiun Cheng,User,China,35.86166,104.195397,,China,132.5
mattgallagher/CwlSignal,CwlSignal,A Swift framework for reactive programming.,152,11,Swift,mattgallagher,Matt Gallagher,User,"Melbourne, Australia.",-37.813627600000004,144.96305759999998,Melbourne,Australia,159.0
victorBaro/AlgoGraphics,AlgoGraphics,Random visualizations,119,8,Swift,victorBaro,Victor Baro,User,Barcelona,41.3850639,2.1734035,Barcelona,Spain,190.5
oklog/ulid,ulid,Universally Unique Lexicographically Sortable Identifier (ULID) in Go,600,8,Go,oklog,OK Log,Organization,,,,,,33.0
samonzeweb/godb,godb,A Go query builder and struct mapper.,486,14,Go,samonzeweb,Samuel GAY,User,Strasbourg - France,48.5734053,7.752111299999998,Strasbourg,France,43.0
mhausenblas/dnpipes,dnpipes,Distributed Named Pipes,423,7,Go,mhausenblas,Michael Hausenblas,User,"Galway, Ireland",53.27066800000001,-9.0567905,Galway,Ireland,49.0
kelseyhightower/konfd,konfd,"Manage application configuration using Kubernetes secrets, configmaps, and Go templates.",340,12,Go,kelseyhightower,Kelsey Hightower,User,"Portland, OR",45.523062200000005,-122.67648159999999,Portland,United States,63.0
goreleaser/releaser,releaser,Deliver Go binaries as fast and easily as possible,274,8,Go,goreleaser,GoReleaser,Organization,,,,,,83.5
asobti/kube-monkey,kube-monkey,An implementation of Netflix's Chaos Monkey for Kubernetes clusters,274,8,Go,asobti,Ayush Sobti,User,"Philadelphia, PA",39.9525839,-75.1652215,Philadelphia,United States,83.5
geohot/lolrecaptcha,lolrecaptcha,We try to break the recaptcha for the Merry Christmas for all!,219,9,Go,geohot,George Hotz,User,"Glen Rock, NJ",40.9628758,-74.1329207,Glen Rock,United States,106.0
DiSiqueira/Gorganizer,Gorganizer,Organize your folders into a beautiful classified folder structure with this perfect tool,198,9,Go,DiSiqueira,Diego Siqueira,User,"Bauru, São Paulo - Brasil",-22.314459,-49.0586951,Bauru,Brazil,116.5
pureconfig/pureconfig,pureconfig,Its goal is to suck less than other configuration file formats.,187,11,Go,pureconfig,,User,,,,,,126.0
o3ma/o3,o3,Open-source implementation of the Threema protocol in Go.,168,11,Go,o3ma,open Threema ,Organization,,,,,,141.5
mtojek/greenwall,greenwall,Tiny service health dashboard written in Go,165,11,Go,mtojek,Marcin Tojek,User,"Gdansk, Poland",54.35202520000001,18.6466384,Gdańsk,Poland,144.0
atongen/gosaic,gosaic,Create your own image mosaics.,129,1,Go,atongen,Andrew Tongen,User,"Minneapolis, MN",44.977753,-93.2650108,Minneapolis,United States,176.0
schollz/find-lf,find-lf,Track the location of every Wi-Fi device (:iphone:) in your house using Raspberry Pis and FIND,115,8,Go,schollz,Zack,User,,,,,,194.5
lacion/cookiecutter-golang,cookiecutter-golang,A Go project template,112,6,Go,lacion,Luis Morales,User,Madrid,40.4167754,-3.7037902000000003,Madrid,Spain,201.0
Xeoncross/secureserver,secureserver,"A Simple, Secured Default HTTP(S) Server for Golang",110,3,Go,Xeoncross,David Pennington,User,"Dallas, Texas",32.7766642,-96.7969879,Dallas,United States,205.0
jcc/blog,blog,:heart: PJ Blog is an open source blog built with Laravel and Vue.js. https://pigjian.com,373,62,PHP,jcc,Jiajian Chan,User,Guangzhou,23.12911,113.264385,Guangzhou,China,58.0
Tencent/bk-cmdb,bk-cmdb,蓝鲸智云配置平台(blueking cmdb),283,132,PHP,Tencent,Tencent,Organization,"Shenzhen, China",22.543096,114.05786499999999,Shenzhen,China,78.5
opsxcq/exploit-CVE-2016-10033,exploit-CVE-2016-10033,PHPMailer < 5.2.18 Remote Code Execution exploit and vulnerable container,196,58,PHP,opsxcq,,User,,,,,,119.0
maysrp/webdir,webdir,网站目录,182,43,PHP,maysrp,Xiaosea,User,china,35.86166,104.195397,,China,129.0
summerblue/news.laravel-china.org,news.laravel-china.org,"Source Code of the https://news.laravel-china.org/ website, build on top of Laravel 5.1. Laravel 资讯网站源代码，使用 Laravel 5.1 构建 ",160,36,PHP,summerblue,CharlieJade,User,ShenZhen China,22.543096,114.05786499999999,Shenzhen,China,154.0
We5ter/Scanners-Box,Scanners-Box,[Project-Kob-6]安全行业从业人员自研开源扫描器合集(不收录w3af、brakeman等知名扫描工具)🌚,143,72,PHP,We5ter,Wester,User,"Chengdu,China",30.572815999999996,104.066801,Chengdu,China,169.0
